WKT,nama,deskripsi
"POINT (106.8898924 -6.302038599999999)",Taman Mini Indonesia Indah,
"POLYGON ((106.8839272 -6.3008442, 106.8842706 -6.303105, 106.8876609 -6.3053658, 106.8943557 -6.3064748, 106.8988189 -6.3082663, 106.9021233 -6.3106977, 106.9051274 -6.3067307, 106.9061574 -6.300375, 106.9052562 -6.2982849, 106.9027242 -6.2972611, 106.9023808 -6.2976877, 106.8995055 -6.2970052, 106.8985614 -6.2981569, 106.8952998 -6.2974744, 106.8922528 -6.2973038, 106.8904075 -6.2964506, 106.8891629 -6.2939339, 106.8853434 -6.2935073, 106.8814811 -6.2941472, 106.8839272 -6.3008442))",Taman Mini Indonesia Indah,
