WKT,nama,deskripsi
"POINT (106.8271533 -6.1753917)",Monas,
"POLYGON ((106.8232212 -6.1714824, 106.8230495 -6.171653, 106.8229422 -6.1795463, 106.8231354 -6.1800583, 106.8235431 -6.1803783, 106.8310103 -6.1800796, 106.8310103 -6.1795463, 106.8304095 -6.178885, 106.8306455 -6.1784796, 106.829916 -6.177605, 106.8299374 -6.1735517, 106.8293795 -6.1732104, 106.8291006 -6.1728264, 106.8292937 -6.171909, 106.829165 -6.171525, 106.8232212 -6.1714824))",Monas,
