WKT,nama,deskripsi
"POINT (106.8261918 -6.309397799999999)",Kebun Binatang Ragunan,
"POLYGON ((106.8162355 -6.3050043, 106.8161926 -6.3060707, 106.8169651 -6.3069664, 106.8164072 -6.3079475, 106.8158493 -6.3084167, 106.8157634 -6.3099523, 106.8162784 -6.3106775, 106.8176088 -6.3113599, 106.8176946 -6.3147724, 106.8163643 -6.3151136, 106.8160209 -6.3166065, 106.8168792 -6.3168198, 106.8179521 -6.31618, 106.8191108 -6.3168198, 106.8247757 -6.3178862, 106.8258915 -6.3109334, 106.8267069 -6.3112746, 106.8269643 -6.3084167, 106.824604 -6.3083741, 106.824604 -6.3062839, 106.8224153 -6.3064972, 106.8203125 -6.3064546, 106.8204841 -6.3055588, 106.8184242 -6.3056868, 106.8180809 -6.3048763, 106.8162355 -6.3050043))",Kebun Binatang Ragunan,
