WKT,nama,deskripsi
"POINT (106.8529248 -6.2373489)",Tebet Eco Park,
"POLYGON ((106.850879 -6.2327521, 106.8506859 -6.2332427, 106.850643 -6.233968, 106.8508147 -6.2344586, 106.8517803 -6.2350558, 106.8523596 -6.2350558, 106.8527673 -6.2361437, 106.852145 -6.2381915, 106.851673 -6.2398552, 106.85266 -6.2420736, 106.8540333 -6.2420096, 106.8533038 -6.2412204, 106.8529819 -6.2403885, 106.8530034 -6.2393646, 106.8532823 -6.2384688, 106.8536471 -6.2369756, 106.8535183 -6.2358024, 106.8533467 -6.2346719, 106.8528102 -6.2348212, 106.8527029 -6.23384, 106.852424 -6.2334134, 106.8514155 -6.2335627, 106.8512653 -6.2333067, 106.8513511 -6.2330294, 106.850879 -6.2327521))",Tebet Eco Park,
