WKT,nama,deskripsi
"POINT (106.804564 -6.219203599999999)",Gelora Bung Karno,
"POLYGON ((106.7982409 -6.2145937, 106.7983267 -6.2203959, 106.8030903 -6.2224437, 106.8045924 -6.2249181, 106.8090556 -6.2222304, 106.8084118 -6.2213771, 106.8084547 -6.2157456, 106.8061373 -6.2157456, 106.806309 -6.2127592, 106.7982409 -6.2145937))",Gelora Bung Karno,
